"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"24-Apr-2020","EQ","2,113.50","2,113.50","1,970.05","2,172.45","1,983.40","1,976.25","2,023.93","4,923.40","1,970.05",10494521,"21,240,195,869.05",623489
"23-Apr-2020","EQ","2,160.00","2,219.10","2,112.00","2,148.25","2,165.00","2,172.45","2,173.24","4,923.40","2,022.35",7144627,"15,526,981,385.10",366439
"22-Apr-2020","EQ","2,059.95","2,170.00","2,022.35","2,099.75","2,155.00","2,148.25","2,098.05","4,923.40","2,022.35",9062724,"19,014,054,304.05",501326
"21-Apr-2020","EQ","2,210.00","2,210.00","2,085.00","2,308.25","2,099.00","2,099.75","2,129.20","4,923.40","2,081.50",7384077,"15,722,203,432.80",461313
"20-Apr-2020","EQ","2,325.00","2,345.50","2,265.00","2,308.15","2,300.00","2,308.25","2,308.52","4,923.40","2,081.50",5403325,"12,473,708,111.75",271944
"17-Apr-2020","EQ","2,355.00","2,375.90","2,235.20","2,220.00","2,313.95","2,308.15","2,303.84","4,923.40","2,081.50",10191558,"23,479,714,872.25",594250
"16-Apr-2020","EQ","2,145.00","2,250.00","2,122.00","2,182.45","2,249.00","2,220.00","2,199.38","4,923.40","2,081.50",7246740,"15,938,345,127.30",465354
"15-Apr-2020","EQ","2,345.00","2,368.00","2,168.40","2,287.30","2,187.00","2,182.45","2,278.88","4,923.40","2,081.50",9333672,"21,270,336,703.00",552132
"13-Apr-2020","EQ","2,520.00","2,520.00","2,265.95","2,551.85","2,290.00","2,287.30","2,338.61","4,923.40","2,081.50",8183271,"19,137,509,500.50",502326
"09-Apr-2020","EQ","2,391.00","2,566.15","2,367.10","2,332.90","2,542.00","2,551.85","2,476.52","4,923.40","2,081.50",7193807,"17,815,616,986.00",389795
"08-Apr-2020","EQ","2,184.00","2,374.00","2,144.15","2,253.35","2,329.00","2,332.90","2,293.06","4,923.40","2,081.50",9109346,"20,888,263,313.10",516967
"07-Apr-2020","EQ","2,245.00","2,286.00","2,081.50","2,207.50","2,249.00","2,253.35","2,158.16","4,923.40","2,081.50",11163774,"24,093,228,289.05",737062
"03-Apr-2020","EQ","2,268.80","2,343.70","2,183.05","2,219.35","2,211.00","2,207.50","2,262.83","4,923.40","2,100.00",6172683,"13,967,727,735.75",417221
"01-Apr-2020","EQ","2,180.00","2,286.90","2,132.65","2,215.80","2,226.00","2,219.35","2,212.89","4,923.40","2,100.00",6408401,"14,181,091,965.10",452859
"31-Mar-2020","EQ","2,305.10","2,340.00","2,100.00","2,242.10","2,214.30","2,215.80","2,207.84","4,923.40","2,100.00",11043174,"24,381,548,060.30",710148
"30-Mar-2020","EQ","2,390.05","2,414.40","2,226.00","2,542.30","2,240.00","2,242.10","2,302.22","4,923.40","2,104.65",7698376,"17,723,386,862.45",665331
"27-Mar-2020","EQ","2,955.00","3,040.00","2,500.00","2,793.70","2,572.00","2,542.30","2,736.19","4,923.40","2,104.65",7170719,"19,620,451,014.55",564550
"26-Mar-2020","EQ","2,637.30","2,936.50","2,565.05","2,585.60","2,825.25","2,793.70","2,743.00","4,923.40","2,104.65",5096124,"13,978,665,540.90",406438
"25-Mar-2020","EQ","2,450.00","2,700.00","2,400.00","2,474.20","2,600.45","2,585.60","2,541.95","4,923.40","2,104.65",6226366,"15,827,113,137.20",403274
"24-Mar-2020","EQ","2,472.00","2,568.65","2,104.65","2,266.15","2,511.00","2,474.20","2,375.41","4,923.40","2,104.65",6257226,"14,863,494,746.20",420549
"23-Mar-2020","EQ","2,656.75","2,700.00","2,225.00","2,951.90","2,280.95","2,266.15","2,432.36","4,923.40","2,225.00",4844366,"11,783,258,332.75",485206
"20-Mar-2020","EQ","2,799.85","3,044.00","2,621.65","2,746.10","2,950.00","2,951.90","2,851.02","4,923.40","2,484.70",6110309,"17,420,593,817.10",391750
"19-Mar-2020","EQ","2,800.00","3,053.05","2,484.70","3,061.35","2,755.25","2,746.10","2,776.03","4,923.40","2,484.70",8324859,"23,110,090,606.35",529439
"18-Mar-2020","EQ","3,490.00","3,530.00","3,018.90","3,444.85","3,077.30","3,061.35","3,181.71","4,923.40","2,801.00",5443764,"17,320,481,982.70",322113
"17-Mar-2020","EQ","3,702.10","3,734.70","3,402.00","3,672.25","3,448.95","3,444.85","3,589.58","4,923.40","2,801.00",2558616,"9,184,366,958.25",169664
"16-Mar-2020","EQ","3,833.45","3,833.45","3,600.00","3,952.55","3,658.30","3,672.25","3,677.79","4,923.40","2,801.00",3140526,"11,550,204,539.75",248180
"13-Mar-2020","EQ","3,440.00","4,043.50","3,281.05","3,734.35","3,965.00","3,952.55","3,793.89","4,923.40","2,745.50",4849922,"18,400,063,921.45",253223
"12-Mar-2020","EQ","3,860.00","3,869.95","3,628.10","4,030.65","3,729.00","3,734.35","3,744.89","4,923.40","2,745.50",5272622,"19,745,392,062.90",291600
"11-Mar-2020","EQ","4,014.00","4,118.90","3,985.00","4,026.80","4,039.00","4,030.65","4,054.56","4,923.40","2,745.50",2793788,"11,327,594,748.65",167473
"09-Mar-2020","EQ","4,070.00","4,127.50","3,945.15","4,225.85","4,040.00","4,026.80","4,040.71","4,923.40","2,745.50",3545633,"14,326,880,577.25",217420
"06-Mar-2020","EQ","4,125.00","4,238.00","4,036.50","4,330.70","4,238.00","4,225.85","4,145.84","4,923.40","2,644.60",3312238,"13,732,022,260.10",224893
"05-Mar-2020","EQ","4,310.00","4,367.55","4,273.15","4,286.40","4,334.00","4,330.70","4,326.24","4,923.40","2,644.60",1833295,"7,931,268,950.90",120742
"04-Mar-2020","EQ","4,466.00","4,496.80","4,225.00","4,454.10","4,279.90","4,286.40","4,332.34","4,923.40","2,644.60",2472991,"10,713,835,284.15",172801
"03-Mar-2020","EQ","4,400.00","4,474.95","4,320.05","4,360.75","4,462.90","4,454.10","4,409.57","4,923.40","2,644.60",2023503,"8,922,772,697.30",135928
"02-Mar-2020","EQ","4,600.00","4,617.95","4,305.65","4,465.85","4,364.00","4,360.75","4,474.58","4,923.40","2,644.60",2238216,"10,015,069,607.50",134008
"28-Feb-2020","EQ","4,640.00","4,640.00","4,311.75","4,759.80","4,500.00","4,465.85","4,480.74","4,923.40","2,600.00",4941410,"22,141,192,322.35",260097
"27-Feb-2020","EQ","4,815.00","4,815.00","4,712.10","4,810.00","4,763.50","4,759.80","4,758.84","4,923.40","2,600.00",1174870,"5,591,022,419.20",82651
"26-Feb-2020","EQ","4,815.00","4,837.75","4,767.25","4,825.95","4,814.55","4,810.00","4,809.42","4,923.40","2,600.00",851346,"4,094,480,686.85",67774
"25-Feb-2020","EQ","4,849.90","4,849.90","4,784.00","4,803.95","4,830.10","4,825.95","4,815.79","4,923.40","2,600.00",959309,"4,619,826,586.65",77006
"24-Feb-2020","EQ","4,840.00","4,876.00","4,751.20","4,880.45","4,816.00","4,803.95","4,825.83","4,923.40","2,600.00",1263389,"6,096,897,772.70",99717
"20-Feb-2020","EQ","4,867.90","4,923.40","4,853.75","4,878.05","4,888.00","4,880.45","4,890.77","4,923.40","2,512.45",1634643,"7,994,660,247.75",60050
"19-Feb-2020","EQ","4,785.00","4,887.00","4,780.10","4,758.00","4,878.00","4,878.05","4,846.31","4,887.00","2,512.45",1172049,"5,680,115,188.75",69005
"18-Feb-2020","EQ","4,769.40","4,771.95","4,701.60","4,776.65","4,770.00","4,758.00","4,736.24","4,815.00","2,512.45",728611,"3,450,873,281.50",58153
"17-Feb-2020","EQ","4,781.75","4,798.00","4,750.05","4,781.75","4,779.00","4,776.65","4,773.35","4,815.00","2,512.45",716484,"3,420,028,700.45",63968
"14-Feb-2020","EQ","4,800.00","4,815.00","4,768.00","4,795.35","4,785.00","4,781.75","4,796.55","4,815.00","2,506.00",731118,"3,506,846,618.20",54945
"13-Feb-2020","EQ","4,766.00","4,800.60","4,735.00","4,768.70","4,795.40","4,795.35","4,769.46","4,800.60","2,506.00",681039,"3,248,190,675.90",42984
"12-Feb-2020","EQ","4,770.00","4,782.20","4,722.00","4,749.35","4,780.00","4,768.70","4,757.60","4,785.00","2,506.00",882964,"4,200,792,759.30",64391
